,Ind,Tru,No Sampled Ancestors Turnover,ident
37,0,26.34,26.4622823606,Non Sampled Ancestor Model
38,0,26.34,26.4844601434,Non Sampled Ancestor Model
39,0,26.34,26.4727419224,Non Sampled Ancestor Model
0,0,15.59,15.7697167426,Non Sampled Ancestor Model
1,0,15.59,16.6858132215,Non Sampled Ancestor Model
2,0,15.59,16.3535646844,Non Sampled Ancestor Model
3,0,15.59,16.0084336689,Non Sampled Ancestor Model
4,0,15.59,16.410050418,Non Sampled Ancestor Model
5,0,15.59,17.3369452726,Non Sampled Ancestor Model
6,0,15.59,19.1031358136,Non Sampled Ancestor Model
7,0,15.59,16.030923501,Non Sampled Ancestor Model
8,0,15.59,23.4594058569,Non Sampled Ancestor Model
9,0,15.59,43.5706050847,Non Sampled Ancestor Model
10,0,15.59,17.5926585188,Non Sampled Ancestor Model
11,0,15.59,16.0863283782,Non Sampled Ancestor Model
12,0,15.59,15.8235459955,Non Sampled Ancestor Model
13,0,15.59,39.8001606683,Non Sampled Ancestor Model
14,0,15.59,19.2851880781,Non Sampled Ancestor Model
15,0,15.59,15.9614138141,Non Sampled Ancestor Model
16,0,15.59,16.0305279842,Non Sampled Ancestor Model
17,0,15.59,16.4157155115,Non Sampled Ancestor Model
18,0,15.59,16.2827301188,Non Sampled Ancestor Model
19,0,15.59,34.0352903805,Non Sampled Ancestor Model
20,0,15.59,17.5011383711,Non Sampled Ancestor Model
21,0,15.59,15.7973130742,Non Sampled Ancestor Model
22,0,15.59,15.8317100808,Non Sampled Ancestor Model
23,0,15.59,24.2155995141,Non Sampled Ancestor Model
24,0,15.59,18.7584888879,Non Sampled Ancestor Model
25,0,15.59,16.0218366875,Non Sampled Ancestor Model
26,0,15.59,16.2253233694,Non Sampled Ancestor Model
27,0,15.59,16.1097521612,Non Sampled Ancestor Model
28,0,15.59,15.830720181,Non Sampled Ancestor Model
29,0,15.59,15.7207359717,Non Sampled Ancestor Model
30,0,15.59,15.8430988192,Non Sampled Ancestor Model
31,0,15.59,15.8314005407,Non Sampled Ancestor Model
32,0,15.59,15.8926674287,Non Sampled Ancestor Model
